Sample_ID,Year,Country,Continent,NG_MAST,azm_mic,cip_mic,cfx_mic
ERR1549286,2015,UK,Europe,9768,512,NA,NA
ERR1549290,2015,UK,Europe,9768,512,NA,NA
ERR1549291,2015,UK,Europe,9768,512,NA,NA
ERR1549287,2015,UK,Europe,9768,512,NA,NA
ERR1549288,2015,UK,Europe,9768,512,NA,NA
ERR1549299,2015,UK,Europe,NA,512,NA,NA
ERR1549292,2015,UK,Europe,9768,512,NA,NA
ERR1549298,2015,UK,Europe,NA,0.5,NA,NA
ERR1549296,2015,UK,Europe,NA,0.5,NA,NA
ERR1549300,2015,UK,Europe,NA,512,NA,NA
ERR1549295,2015,UK,Europe,NA,0.75,NA,NA
ERR1549294,2015,UK,Europe,1407,0.75,NA,NA
ERR1549289,2015,UK,Europe,NA,0.75,NA,NA
ERR1549293,2015,UK,Europe,11836,512,NA,NA
SRR1661154,1996,Canada,America,10443,0.25,0.5,0.125
SRR1661156,1997,Canada,America,10476,0.25,16,0.063
SRR1661157,1998,Canada,America,10469,0.125,0.016,0.063
SRR1661158,2000,Canada,America,4138,0.25,0.5,0.25
SRR1661159,2001,Canada,America,8,0.063,0.063,0.001
SRR1661160,2001,Canada,America,-,0.125,0.004,0.004
SRR1661161,2001,Canada,America,4383,0.5,16,0.25
SRR1661162,2001,Canada,America,51,0.063,0.004,0.008
SRR1661163,2001,Canada,America,108,0.5,0.032,0.032
SRR1661164,2001,Canada,America,1424,0.5,64,0.25
SRR1661165,2001,Canada,America,84,0.25,0.25,0.032
SRR1661166,2001,Canada,America,4383,0.5,16,0.25
SRR1661167,2002,Canada,America,5,2,0.032,0.063
SRR1661169,2004,Canada,America,9022,0.063,0.004,0.004
SRR1661171,2005,Canada,America,25,0.063,0.004,0.004
SRR1661172,2005,Canada,America,210,0.125,0.008,0.004
SRR1661174,2005,Canada,America,225,0.063,8,0.032
SRR1661176,2005,Canada,America,1407,0.5,16,0.063
SRR1661177,2005,Canada,America,69,0.25,0.016,0.002
SRR1661178,2005,Canada,America,545,0.063,0.016,0.001
SRR1661179,2006,Canada,America,1056,0.25,1,0.063
SRR1661180,2006,Canada,America,2,0.032,0.004,0.004
SRR1661181,2006,Canada,America,4014,0.125,2,0.25
SRR1661182,2006,Canada,America,4014,0.125,2,0.25
SRR1661184,2006,Canada,America,3108,0.5,4,0.016
SRR1661185,2006,Canada,America,225,0.25,16,0.25
SRR1661186,2006,Canada,America,3108,0.25,4,0.016
SRR1661187,2006,Canada,America,1407,0.25,8,0.063
SRR1661188,2006,Canada,America,225,0.25,16,0.063
SRR1661189,2006,Canada,America,-,0.25,4,0.016
SRR1661191,2006,Canada,America,225,0.25,16,0.063
SRR1661192,2006,Canada,America,225,0.25,32,0.063
SRR1661193,2007,Canada,America,225,0.032,4,0.032
SRR1661194,2007,Canada,America,3565,0.25,0.016,0.125
SRR1661195,2007,Canada,America,-,0.25,64,0.5
SRR1661196,2008,Canada,America,-,0.5,16,0.125
SRR1661197,2007,Canada,America,1407,0.5,16,0.125
SRR1661198,2007,Canada,America,1407,0.5,16,0.125
SRR1661200,2008,Canada,America,1407,0.5,16,0.032
SRR1661201,2008,Canada,America,3158,0.5,16,0.25
SRR1661202,2008,Canada,America,3779,0.5,16,0.032
SRR1661203,2008,Canada,America,3158,0.5,16,0.125
SRR1661204,2008,Canada,America,225,0.5,32,0.125
SRR1661205,2008,Canada,America,225,0.5,16,0.125
SRR1661206,2008,Canada,America,3158,0.5,16,0.25
SRR1661208,2009,Canada,America,-,0.5,16,0.25
SRR1661209,2009,Canada,America,1407,16,16,0.063
SRR1661210,2009,Canada,America,1407,0.5,16,0.25
SRR1661212,2009,Canada,America,1407,0.5,16,0.25
SRR1661213,2009,Canada,America,1407,0.5,16,0.25
SRR1661214,2009,Canada,America,225,0.25,16,0.032
SRR1661215,2009,Canada,America,3149,0.25,8,0.125
SRR1661217,2009,Canada,America,1407,0.25,16,0.125
SRR1661218,2010,Canada,America,2992,0.25,0.125,0.032
SRR1661219,2010,Canada,America,25,0.032,0.002,0.008
SRR1661220,2010,Canada,America,1407,0.5,16,0.25
SRR1661221,2010,Canada,America,-,0.5,16,0.016
SRR1661222,2010,Canada,America,3550,0.5,8,0.032
SRR1661224,2009,Canada,America,210,0.125,0.008,0.008
SRR1661225,2010,Canada,America,210,0.125,0.004,0.008
SRR1661226,2010,Canada,America,3150,0.25,8,0.016
SRR1661228,2010,Canada,America,757,0.5,4,0.063
SRR1661230,2010,Canada,America,4269,0.25,16,0.125
SRR1661231,2010,Canada,America,4269,0.5,16,0.125
SRR1661232,2010,Canada,America,4637,0.25,0.004,0.008
SRR1661233,2010,Canada,America,1407,0.5,16,0.25
SRR1661234,2010,Canada,America,5371,0.125,0.004,0.004
SRR1661235,2010,Canada,America,5371,0.125,0.004,0.004
SRR1661236,2010,Canada,America,51,0.063,0.002,0.004
SRR1661237,2010,Canada,America,6351,0.125,0.004,0.004
SRR1661238,2010,Canada,America,231,0.125,0.004,0.004
SRR1661239,2010,Canada,America,6644,0.125,0.004,0.004
SRR1661240,2010,Canada,America,6645,0.125,0.004,0.004
SRR1661241,2011,Canada,America,231,0.125,0.004,0.004
SRR1661244,2010,Canada,America,4985,0.5,16,0.125
SRR1661246,2010,Canada,America,1407,0.5,16,0.125
SRR1661247,2010,Canada,America,-,0.5,16,0.125
SRR1661248,2010,Canada,America,4985,0.5,16,0.125
SRR1661251,2010,Canada,America,4985,0.5,16,0.125
SRR1661252,2010,Canada,America,3550,0.5,16,0.063
SRR1661253,2011,Canada,America,3149,0.25,16,0.25
SRR1661254,2011,Canada,America,5643,0.25,4,0.063
SRR1661255,2011,Canada,America,3556,0.032,0.004,0.004
SRR1661256,2011,Canada,America,3556,0.032,0.002,0.004
SRR1661257,2011,Canada,America,-,0.063,0.002,0.004
SRR1661258,2010,Canada,America,3150,0.5,16,0.032
SRR1661259,2010,Canada,America,1407,0.5,16,0.25
SRR1661260,2010,Canada,America,6175,0.125,0.002,0.004
SRR1661261,2010,Canada,America,2992,0.25,0.004,0.008
SRR1661263,2010,Canada,America,4669,0.125,0.004,0.004
SRR1661264,2010,Canada,America,545,0.125,0.004,0.002
SRR1661266,2011,Canada,America,2,0.125,0.004,0.004
SRR1661267,2011,Canada,America,2,0.063,0.004,0.004
SRR1661268,2011,Canada,America,5643,0.5,4,0.25
SRR1661269,2011,Canada,America,5643,0.25,4,0.125
SRR1661270,2011,Canada,America,3709,0.5,16,0.25
SRR1661271,2011,Canada,America,3158,0.5,16,0.25
SRR1661272,2011,Canada,America,5643,0.5,4,0.25
SRR1661273,2011,Canada,America,1513,0.5,16,0.125
SRR1661274,2011,Canada,America,1407,0.063,4,0.063
SRR1661276,2012,Canada,America,1407,0.5,16,0.125
SRR1661277,2012,Canada,America,-,0.5,16,0.25
SRR1661278,2012,Canada,America,-,0.5,16,0.125
SRR1661280,2011,Canada,America,225,0.032,4,0.016
SRR1661282,2011,Canada,America,1780,0.25,0.004,0.004
SRR1661283,2011,Canada,America,1407,0.25,8,0.125
SRR1661284,2012,Canada,America,-,0.25,8,0.125
SRR1661285,2012,Canada,America,3556,0.032,0.002,0.004
SRR1661286,2011,Canada,America,231,0.125,0.004,0.004
SRR1661287,2011,Canada,America,7983,0.125,0.008,0.004
SRR1661288,2011,Canada,America,6644,0.125,0.004,0.002
SRR1661289,2011,Canada,America,8,0.125,0.004,0.002
SRR1661290,2011,Canada,America,374,0.25,0.004,0.004
SRR1661291,2011,Canada,America,374,0.125,0.004,0.004
SRR1661293,2011,Canada,America,7986,0.5,8,0.125
SRR1661294,2011,Canada,America,1407,0.5,16,0.25
SRR1661295,2011,Canada,America,5650,0.032,0.004,0.004
SRR1661296,2012,Canada,America,8851,0.063,16,0.063
SRR1661297,2012,Canada,America,7986,0.063,8,0.063
SRR1661298,2012,Canada,America,3378,0.5,16,0.125
SRR1661299,2012,Canada,America,1407,0.125,16,0.125
SRR1661300,2012,Canada,America,7986,0.063,8,0.063
SRR1661302,2012,Canada,America,3158,0.063,8,0.25
SRR1661303,2012,Canada,America,7986,0.063,8,0.063
SRR1661304,2012,Canada,America,1407,0.063,16,0.125
SRR1661305,2012,Canada,America,-,0.063,8,0.063
SRR1661306,2012,Canada,America,7986,0.063,16,0.063
SRR1661307,2009,Canada,America,5640,0.5,16,0.125
SRR1661308,2009,Canada,America,4985,0.5,64,0.125
SRR1661309,2009,Canada,America,225,0.25,64,0.016
SRR1661310,2009,Canada,America,-,0.5,32,0.125
SRR1661311,2009,Canada,America,-,0.5,16,0.125
SRR1661312,2010,Canada,America,495,0.25,0.016,0.032
SRR1661313,2010,Canada,America,2992,0.25,0.004,0.016
SRR1661314,2011,Canada,America,210,0.125,0.004,0.016
SRR1661316,2012,Canada,America,8694,0.25,0.004,0.004
SRR1661317,2012,Canada,America,3656,0.032,0.002,0.004
SRR1661318,2012,Canada,America,3657,0.004,0.004,0.004
SRR1661319,2012,Canada,America,6331,0.125,0.004,0.002
SRR1661320,2013,Canada,America,1109,0.063,0.002,0.004
SRR1661321,2012,Canada,America,9509,0.125,0.004,0.004
SRR1661323,NA,,,1572,0.5,0.004,0.032
SRR1661153,1994,Canada,America,380,0.5,0.016,0.063
SRR2736093,1998,Canada,America,5,2,NA,0.004
SRR2736094,1998,Canada,America,21,2,NA,0.008
SRR1661155,1998,Canada,America,21,1,0.016,0.125
SRR2736095,1998,Canada,America,10502,2,NA,0.032
SRR2736096,1998,Canada,America,10575,2,NA,0.016
SRR2736097,1997,Canada,America,10576,2,NA,0.032
SRR2736098,1997,Canada,America,21,2,NA,0.016
SRR2736099,1997,Canada,America,21,2,NA,0.032
SRR2736100,1997,Canada,America,21,2,NA,0.016
SRR2736101,1997,Canada,America,21,2,NA,0.032
SRR2736102,1997,Canada,America,21,2,NA,0.032
SRR2736103,1997,Canada,America,21,2,NA,0.016
SRR2736104,1998,Canada,America,5,2,NA,0.032
SRR2736105,1998,Canada,America,10577,2,NA,0.032
SRR2736106,1998,Canada,America,5,2,NA,0.032
SRR2736107,1998,Canada,America,5,2,NA,0.008
SRR2736108,1999,Canada,America,5,2,NA,0.008
SRR2736109,1999,Canada,America,5,2,NA,0.008
SRR2736110,1998,Canada,America,64,4,NA,0.016
SRR2736111,1998,Canada,America,64,4,NA,0.008
SRR2736112,1999,Canada,America,5,2,NA,0.008
SRR2736113,1999,Canada,America,5,2,NA,0.016
SRR2736114,1999,Canada,America,10575,2,NA,0.008
SRR2736115,1999,Canada,America,5,2,NA,0.008
SRR2736116,2000,Canada,America,10503,2,NA,0.016
SRR2736117,2000,Canada,America,21,2,NA,0.032
SRR2736118,1999,Canada,America,10578,1,NA,0.008
SRR2736119,1999,Canada,America,251,2,NA,0.016
SRR2736120,2000,Canada,America,21,2,NA,0.016
SRR2736121,2000,Canada,America,21,2,NA,0.016
SRR2736122,2000,Canada,America,21,2,NA,0.032
SRR2736123,2000,Canada,America,5,2,NA,0.016
SRR2736124,2000,Canada,America,21,2,NA,0.032
SRR2736125,2001,Canada,America,5,2,NA,0.016
SRR2736126,2001,Canada,America,21,2,NA,0.032
SRR2736127,2002,Canada,America,154,2,NA,0.016
SRR2736128,2002,Canada,America,5,2,NA,0.016
SRR2736129,2003,Canada,America,5,8,NA,0.016
SRR1661168,2004,Canada,America,-,0.5,64,0.5
SRR2736131,2005,Canada,America,64,4,NA,0.008
SRR2736132,2004,Canada,America,-,4,NA,0.016
SRR2736133,2005,Canada,America,NA,4,NA,0.032
SRR2736134,2004,Canada,America,1948,1024,NA,0.032
SRR2736135,2005,Canada,America,3132,2,NA,0.008
SRR2736136,2005,Canada,America,64,4,NA,0.032
SRR2736137,2005,Canada,America,-,2,NA,0.016
SRR1661175,2005,Canada,America,1407,0.5,16,0.125
SRR2736139,2005,Canada,America,3155,16,NA,0.016
SRR2736140,2006,Canada,America,64,4,NA,0.008
SRR1661183,2006,Canada,America,225,1,16,0.032
SRR2736141,2006,Canada,America,225,8,NA,0.016
SRR2736142,2006,Canada,America,4813,16,NA,0.008
SRR2736143,2006,Canada,America,3150,4,NA,0.032
SRR2736144,2007,Canada,America,4815,8,NA,0.032
SRR2736145,2007,Canada,America,4815,8,NA,0.032
SRR2736146,2007,Canada,America,3116,2,NA,0.016
SRR2736147,2007,Canada,America,892,2,NA,0.016
SRR2736148,2007,Canada,America,225,2,NA,0.032
SRR2736149,2007,Canada,America,-,2,NA,0.032
SRR2736150,2007,Canada,America,3158,0.5,NA,0.125
SRR2736151,2007,Canada,America,225,2,NA,0.016
SRR2736152,2006,Canada,America,4815,8,NA,0.032
SRR2736153,2006,Canada,America,4815,8,NA,0.032
SRR2736154,2008,Canada,America,4827,16,NA,0.063
SRR2736155,2008,Canada,America,4816,4,NA,0.063
SRR2736156,2008,Canada,America,421,4,NA,0.032
SRR2736157,2008,Canada,America,4836,32,NA,0.032
SRR1661199,2008,Canada,America,3108,0.5,4,0.032
SRR1661207,2009,Canada,America,1948,NA,4,0.125
SRR2736159,2009,Canada,America,-,2,NA,0.008
SRR2736160,2009,Canada,America,1407,16,NA,0.125
SRR2736161,2009,Canada,America,1407,16,NA,0.125
SRR2736162,2009,Canada,America,1407,16,NA,0.125
SRR2736163,2009,Canada,America,1407,16,NA,0.125
SRR1661211,2009,Canada,America,2992,0.5,0.004,0.016
SRR2736164,2009,Canada,America,225,2,NA,0.063
SRR2736165,2010,Canada,America,285,2,NA,0.008
SRR1661223,2010,Canada,America,2992,0.5,0.125,0.016
SRR1661227,2010,Canada,America,4980,NA,32,0.063
SRR2736167,2010,Canada,America,3150,2,NA,0.032
SRR2736168,2010,Canada,America,225,16,NA,0.032
SRR2736169,2010,Canada,America,688,4,NA,0.008
SRR2736170,2010,Canada,America,688,4,NA,0.008
SRR2736171,2010,Canada,America,688,4,NA,0.008
SRR2736172,2010,Canada,America,688,2,NA,0.008
SRR2736173,2010,Canada,America,688,4,NA,0.008
SRR2736174,2010,Canada,America,688,4,NA,0.016
SRR1661242,2010,Canada,America,1407,0.5,16,0.25
SRR2736175,2010,Canada,America,3150,2,NA,0.032
SRR1661243,2010,Canada,America,3150,1,16,0.016
SRR2736176,2010,Canada,America,688,2,NA,0.125
SRR2736177,2010,Canada,America,-,2,NA,0.032
SRR1661245,2010,Canada,America,5372,1,16,0.25
SRR1661249,2010,Canada,America,1407,1,16,0.125
SRR1661250,2010,Canada,America,3378,1,16,0.125
SRR2736178,2010,Canada,America,1407,2,NA,0.004
SRR2736179,2010,Canada,America,688,4,NA,0.008
SRR2736180,2010,Canada,America,688,4,NA,0.008
SRR2736181,2010,Canada,America,2992,4,NA,0.008
SRR2736182,2010,Canada,America,688,4,NA,0.032
SRR2736183,2010,Canada,America,688,4,NA,0.008
SRR2736184,2010,Canada,America,-,4,NA,0.008
SRR2736185,2010,Canada,America,3150,2,NA,0.032
SRR2736186,2010,Canada,America,-,2,NA,0.032
SRR2736188,2010,Canada,America,2992,8,NA,0.008
SRR2736189,2010,Canada,America,2992,8,NA,0.016
SRR2736190,2010,Canada,America,2992,8,NA,0.004
SRR2736191,2010,Canada,America,6296,8,NA,0.008
SRR2736192,2010,Canada,America,2992,8,NA,0.008
SRR1661262,2010,Canada,America,1407,1,16,0.008
SRR2736193,2010,Canada,America,757,8,NA,0.016
SRR2736194,2010,Canada,America,2992,8,NA,0.004
SRR2736195,2010,Canada,America,2992,8,NA,0.004
SRR2736196,2010,Canada,America,2992,8,NA,0.004
SRR2736197,2010,Canada,America,2992,8,NA,0.004
SRR2736198,2010,Canada,America,437,2,NA,0.125
SRR1661265,2010,Canada,America,757,0.5,4,0.032
SRR2736200,2011,Canada,America,688,4,NA,0.008
SRR2736201,2011,Canada,America,688,4,NA,0.016
SRR2736202,2011,Canada,America,5049,16,NA,0.008
SRR2736203,2010,Canada,America,-,1024,NA,0.032
SRR1661279,2012,Canada,America,-,2,16,0.25
SRR2736204,2011,Canada,America,757,4,NA,0.032
SRR2736205,2011,Canada,America,3150,8,NA,0.032
SRR2736206,2011,Canada,America,7199,16,NA,0.032
SRR2736207,2011,Canada,America,7199,16,NA,0.032
SRR2736208,2011,Canada,America,8035,16,NA,0.016
SRR1661281,2011,Canada,America,2992,1,0.004,0.032
SRR2736209,2011,Canada,America,3149,16,NA,0.032
SRR2736210,2011,Canada,America,2992,4,NA,0.016
SRR1661292,2012,France,Europe,1407,0.5,16,8
SRR2736211,2011,Canada,America,2992,1,NA,0.016
SRR2736212,2012,Canada,America,3935,8,NA,0.032
SRR2736213,2011,Canada,America,4991,2,NA,0.032
SRR2736214,2012,Canada,America,8690,1024,NA,0.016
SRR1661315,2012,Canada,America,3158,8,16,0.125
SRR2736215,2012,Canada,America,7986,8,NA,0.063
SRR2736216,2012,Canada,America,7986,8,NA,0.063
SRR2736217,2012,Canada,America,8203,16,NA,0.016
SRR2736218,2012,Canada,America,5650,0.25,NA,0.032
SRR2736219,2012,Canada,America,2992,8,NA,0.016
SRR2736220,2012,Canada,America,1407,16,NA,0.125
SRR2736221,2012,Canada,America,7199,16,NA,0.063
SRR2736222,2012,Canada,America,3158,8,NA,0.125
SRR2736223,2012,Canada,America,3158,16,NA,0.125
SRR2736224,2012,Canada,America,3158,8,NA,0.125
SRR2736225,2013,Canada,America,8915,16,NA,0.016
SRR2736226,2012,Canada,America,3158,8,NA,0.125
SRR2736227,2012,Canada,America,3158,8,NA,0.125
SRR2736228,2013,Canada,America,3158,8,NA,0.25
SRR2736229,2013,Canada,America,3158,8,NA,0.25
SRR2736230,2013,Canada,America,3158,8,NA,0.125
SRR2736231,2013,Canada,America,9436,8,NA,0.016
SRR2736232,2013,Canada,America,3158,8,NA,0.125
SRR2736233,2012,Canada,America,2992,8,NA,0.008
SRR2736234,2012,Canada,America,2992,8,NA,0.032
SRR2736235,2012,Canada,America,2992,8,NA,0.008
SRR2736236,2012,Canada,America,2992,8,NA,0.008
SRR2736237,2012,Canada,America,2992,8,NA,0.008
SRR2736238,2012,Canada,America,2992,2,NA,0.008
SRR2736239,2012,Canada,America,2992,2,NA,0.008
SRR2736240,2012,Canada,America,2992,8,NA,0.008
SRR2736241,2013,Canada,America,9427,8,NA,0.125
SRR2736242,2013,Canada,America,8915,16,NA,0.032
SRR2736243,2012,Canada,America,6360,8,NA,0.063
SRR2736244,2013,Canada,America,9427,8,NA,0.063
SRR2736245,2013,Canada,America,9427,8,NA,0.125
SRR2736246,2013,Canada,America,9427,8,NA,0.125
SRR2736247,2013,Canada,America,9427,8,NA,0.25
SRR2736248,2013,Canada,America,9427,8,NA,0.063
SRR2736249,2013,Canada,America,3935,2,NA,0.016
SRR2736250,2013,Canada,America,9047,8,NA,0.008
SRR2736251,2013,Canada,America,2992,16,NA,0.008
SRR2736252,2013,Canada,America,2992,8,NA,0.008
SRR2736253,2013,Canada,America,8015,2,NA,0.008
SRR2736254,2013,Canada,America,3158,16,NA,0.25
SRR2736255,2013,Canada,America,6765,2,NA,0.032
SRR2736256,2013,Canada,America,6765,2,NA,0.016
SRR2736257,2013,Canada,America,10128,8,NA,0.032
SRR2736258,2013,Canada,America,3158,16,NA,0.063
SRR2736259,2013,Canada,America,3158,16,NA,0.125
SRR2736260,2013,Canada,America,1407,2,NA,0.5
SRR2736261,2013,Canada,America,1034,2,NA,0.032
SRR2736262,2013,Canada,America,9700,2,NA,0.032
SRR2736263,2013,Canada,America,3158,8,NA,0.125
SRR2736264,2013,Canada,America,3158,16,NA,0.125
SRR2736265,2014,Canada,America,3158,8,NA,0.125
SRR2736266,2014,Canada,America,10451,4,NA,0.063
SRR2736267,2013,Canada,America,1929,8,NA,0.004
SRR2736268,2013,Canada,America,9047,8,NA,0.016
SRR2736269,2013,Canada,America,9368,2,NA,0.032
SRR2736270,2013,Canada,America,9994,0.063,NA,0.032
SRR2736271,2013,Canada,America,9368,4,NA,0.016
SRR2736272,2013,Canada,America,9368,4,NA,0.008
SRR2736273,2014,Canada,America,10128,8,NA,0.032
SRR2736274,2014,Canada,America,10128,8,NA,0.032
SRR2736275,2014,Canada,America,6765,2,NA,0.032
SRR2736276,2014,Canada,America,10451,8,NA,0.125
SRR2736277,2014,Canada,America,3158,8,NA,0.125
SRR2736278,2014,Canada,America,10567,8,NA,0.008
SRR2736279,2014,Canada,America,3149,16,NA,0.125
SRR2736280,2014,Canada,America,1407,2,NA,0.125
SRR2736281,2014,Canada,America,2400,2,NA,0.032
SRR2736282,2014,Canada,America,10567,8,NA,0.008
SRR2736283,2014,Canada,America,10567,8,NA,0.008
SRR2736284,2014,Canada,America,10567,8,NA,0.016
SRR2736285,2014,Canada,America,10567,8,NA,0.008
SRR2736286,2014,Canada,America,10567,8,NA,0.008
SRR2736287,2014,Canada,America,10567,8,NA,0.004
SRR2736288,2014,Canada,America,10567,8,NA,0.016
SRR2736289,2014,Canada,America,10568,8,NA,0.004
SRR2736290,2014,Canada,America,7571,4,NA,0.016
SRR2736291,2014,Canada,America,10567,8,NA,0.016
SRR2736292,2014,Canada,America,10567,8,NA,0.008
SRR2736293,2014,Canada,America,9368,2,NA,0.016
SRR2736294,2014,Canada,America,9368,2,NA,0.016
SRR2736295,2014,Canada,America,10567,8,NA,0.008
SRR2736296,2014,Canada,America,10567,8,NA,0.008
SRR2736297,2014,Canada,America,10567,8,NA,0.016
SRR2736298,2014,Canada,America,9368,2,NA,0.016
SRR2736299,2014,Canada,America,9047,8,NA,0.032
SRR2736300,2014,Canada,America,10814,8,NA,0.008
SRR2736301,2014,Canada,America,10815,1,NA,0.008
SRR2736302,2014,Canada,America,10567,4,NA,0.008
SRR2736303,2014,Canada,America,10567,8,NA,0.008
SRR2736304,2014,Canada,America,9368,2,NA,0.016
SRR2736305,2014,Canada,America,9368,2,NA,0.016
SRR2736306,2014,Canada,America,9047,8,NA,0.016
SRR1661322,1989,Canada,America,919,0.5,0.032,0.125
16853_2#1,2013,Spain,Europe,9810,0.03,2,0.007
16853_2#10,2013,Spain,Europe,1407,0.5,32,0.12
16853_2#11,2013,Spain,Europe,2992,0.5,0.003,0.12
16853_2#12,2013,Spain,Europe,5961,0.25,0.007,0.06
16853_2#13,2013,Spain,Europe,292,0.25,0.023,0.06
16853_2#14,2013,Spain,Europe,4444,1,16,0.015
16853_2#15,2013,Spain,Europe,1407,0.5,32,0.25
16853_2#16,2013,Spain,Europe,2493,0.5,16,0.12
16853_2#17,2013,Spain,Europe,9815,0.5,16,0.25
16853_2#18,2013,Spain,Europe,7414,0.12,4,0.015
16853_2#19,2013,Spain,Europe,1407,0.5,16,0.12
16853_2#2,2013,Spain,Europe,9193,0.25,0.007,0.015
16853_2#20,2013,Spain,Europe,9968,0.06,0.007,0.007
16853_2#21,2013,Spain,Europe,5961,0.5,0.007,0.03
16853_2#22,2013,Spain,Europe,7072,0.25,16,0.5
16853_2#23,2013,Spain,Europe,5967,0.25,16,0.03
16853_2#24,2013,Spain,Europe,multiple,0.25,16,0.25
16853_2#25,2013,Spain,Europe,1407,0.25,32,0.25
16853_2#26,2013,Spain,Europe,9812,0.25,0.015,0.007
16853_2#27,2013,Spain,Europe,292,0.25,0.007,0.06
16853_2#28,2013,Spain,Europe,2400,0.25,16,0.06
16853_2#29,2013,Spain,Europe,1780,0.5,0.007,0.015
16853_2#3,2013,Spain,Europe,9810,0.03,2,0.007
16853_2#30,2013,Spain,Europe,210,0.12,0.007,0.06
16853_2#31,2013,Spain,Europe,9969,0.5,16,0.06
16853_2#32,2013,Spain,Europe,2400,0.5,16,0.06
16853_2#33,2013,Spain,Europe,2992,0.5,0.007,0.03
16853_2#34,2013,Spain,Europe,21,0.25,0.007,0.03
16853_2#35,2013,Spain,Europe,21,0.5,0.015,0.06
16853_2#37,2013,Spain,Europe,8433,0.25,0.015,0.015
16853_2#38,2013,Spain,Europe,4995,0.25,8,0.015
16853_2#39,2013,Spain,Europe,21,0.25,0.015,0.06
16853_2#4,2013,Spain,Europe,multiple,0.12,0.007,0.007
16853_2#40,2013,Spain,Europe,2142,0.25,8,0.06
16853_2#41,2013,Spain,Europe,5267,0.5,16,0.015
16853_2#42,2013,Spain,Europe,4995,0.5,8,0.015
16853_2#43,2013,Spain,Europe,1407,0.5,32,0.5
16853_2#44,2013,Spain,Europe,1407,0.5,32,0.12
16853_2#45,2013,Spain,Europe,1132,0.25,32,0.12
16853_2#46,2013,Spain,Europe,21,1,0.012,0.008
16853_2#47,2013,Spain,Europe,21,0.5,0.008,0.12
16853_2#48,2013,Spain,Europe,10026,1,32,0.12
16853_2#49,2013,Spain,Europe,292,0.12,0.003,0.008
16853_2#5,2013,Spain,Europe,multiple,1,32,0.25
16853_2#50,2013,Spain,Europe,9970,0.5,16,0.06
16853_2#51,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#52,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#53,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#54,2013,Austria,Europe,11575,NA,NA,0.023
16853_2#55,2013,Austria,Europe,387,NA,NA,0.016
16853_2#56,2013,Austria,Europe,1856,NA,NA,0.016
16853_2#57,2013,Austria,Europe,2400,NA,NA,0.047
16853_2#58,2013,Austria,Europe,11576,NA,NA,0.016
16853_2#59,2013,Austria,Europe,5094,NA,NA,0.023
16853_2#6,2013,Spain,Europe,5120,0.12,0.007,0.007
16853_2#60,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#61,2013,Austria,Europe,225,NA,NA,0.047
16853_2#62,2013,Austria,Europe,4995,NA,NA,0.016
16853_2#63,2013,Austria,Europe,5622,NA,NA,0.094
16853_2#64,2013,Austria,Europe,568,NA,NA,0.016
16853_2#65,2013,Austria,Europe,387,NA,NA,0.016
16853_2#66,2013,Austria,Europe,6961,NA,NA,0.023
16853_2#67,2013,Austria,Europe,11575,NA,NA,0.016
16853_2#68,2013,Austria,Europe,11575,NA,NA,0.016
16853_2#69,2013,Austria,Europe,225,NA,NA,0.047
16853_2#7,2013,Spain,Europe,437,0.5,32,0.03
16853_2#70,2013,Austria,Europe,5622,NA,NA,0.125
16853_2#71,2013,Austria,Europe,5441,NA,NA,0.016
16853_2#72,2013,Austria,Europe,-,NA,NA,0.125
16853_2#73,2013,Austria,Europe,4995,NA,NA,0.016
16853_2#74,2013,Austria,Europe,4995,NA,NA,0.016
16853_2#75,2013,Austria,Europe,11576,NA,NA,0.125
16853_2#76,2013,Austria,Europe,11577,NA,NA,0.016
16853_2#77,2013,Austria,Europe,3629,NA,NA,0.016
16853_2#78,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#79,2013,Austria,Europe,11578,0.75,NA,0.125
16853_2#80,2013,Austria,Europe,-,NA,NA,0.016
16853_2#81,2013,Austria,Europe,5622,NA,NA,0.125
16853_2#82,2013,Austria,Europe,9972,NA,NA,0.125
16853_2#83,2013,Austria,Europe,5441,NA,NA,0.016
16853_2#84,2013,Austria,Europe,3629,NA,NA,0.016
16853_2#85,2013,Austria,Europe,2400,NA,NA,0.047
16853_2#86,2013,Austria,Europe,387,NA,NA,0.016
16853_2#87,2013,Austria,Europe,4995,NA,NA,0.016
16853_2#88,2013,Austria,Europe,11580,NA,NA,0.023
16853_2#89,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#9,2013,Spain,Europe,9888,0.25,0.007,0.007
16853_2#90,2013,Austria,Europe,11575,NA,NA,0.016
16853_2#91,2013,Austria,Europe,3785,NA,NA,0.016
16853_2#92,2013,Austria,Europe,8024,NA,NA,0.016
16853_2#93,2013,Austria,Europe,11581,NA,NA,0.016
16853_2#94,2013,Austria,Europe,891,NA,NA,0.032
16853_2#95,2013,Austria,Europe,5333,NA,NA,0.023
16853_3#1,2013,Austria,Europe,multiple,0.5,NA,0.094
16853_3#10,2013,Italy,Europe,multiple,0.016,32,0.023
